n,msec,pos
# Quadrature Readout v0.1 26-March-2021 J.Beale
729,12349,70
730,12371,69
731,12389,68
732,12404,67
733,12420,66
734,12434,65
735,12447,64
736,12458,63
737,12470,62
738,12481,61
739,12492,60
740,12502,59
741,12512,58
742,12521,57
743,12531,56
744,12539,55
745,12548,54
746,12557,53
747,12565,52
748,12573,51
749,12581,50
750,12589,49
751,12597,48
752,12604,47
753,12612,46
754,12619,45
755,12626,44
756,12633,43
757,12640,42
758,12647,41
759,12654,40
760,12660,39
761,12667,38
762,12674,37
763,12680,36
764,12686,35
765,12693,34
766,12699,33
767,12706,32
768,12711,31
769,12718,30
770,12724,29
771,12730,28
772,12735,27
773,12742,26
774,12748,25
775,12753,24
776,12759,23
777,12765,22
778,12771,21
779,12776,20
780,12782,19
781,12787,18
782,12793,17
783,12799,16
784,12804,15
785,12809,14
786,12815,13
787,12821,12
788,12826,11
789,12831,10
790,12837,9
791,12842,8
792,12847,7
793,12852,6
794,12858,5
795,12863,4
796,12868,3
797,12873,2
798,12879,1
799,12884,0
800,12889,-1
801,12894,-2
802,12899,-3
803,12904,-4
804,12909,-5
805,12914,-6
806,12919,-7
807,12925,-8
808,12929,-9
809,12935,-10
810,12940,-11
811,12945,-12
812,12949,-13
813,12955,-14
814,12960,-15
815,12965,-16
816,12969,-17
817,12975,-18
818,12980,-19
819,12985,-20
820,12989,-21
821,12995,-22
822,13000,-23
823,13005,-24
824,13009,-25
825,13014,-26
826,13019,-27
827,13025,-28
828,13029,-29
829,13034,-30
830,13039,-31
831,13044,-32
832,13049,-33
833,13054,-34
834,13059,-35
835,13064,-36
836,13069,-37
837,13074,-38
838,13079,-39
839,13084,-40
840,13089,-41
841,13094,-42
842,13099,-43
843,13104,-44
844,13109,-45
845,13114,-46
846,13119,-47
847,13124,-48
848,13129,-49
849,13134,-50
850,13139,-51
851,13145,-52
852,13149,-53
853,13155,-54
854,13160,-55
855,13165,-56
856,13170,-57
857,13175,-58
858,13181,-59
859,13186,-60
860,13191,-61
861,13196,-62
862,13202,-63
863,13207,-64
864,13212,-65
865,13218,-66
866,13223,-67
867,13229,-68
868,13234,-69
869,13239,-70
870,13245,-71
871,13250,-72
872,13256,-73
873,13261,-74
874,13267,-75
875,13273,-76
876,13278,-77
877,13284,-78
878,13290,-79
879,13296,-80
880,13301,-81
881,13307,-82
882,13313,-83
883,13319,-84
884,13325,-85
885,13331,-86
886,13337,-87
887,13344,-88
888,13350,-89
889,13356,-90
890,13362,-91
891,13369,-92
892,13375,-93
893,13382,-94
894,13389,-95
895,13395,-96
896,13402,-97
897,13409,-98
898,13416,-99
899,13423,-100
900,13430,-101
901,13438,-102
902,13445,-103
903,13453,-104
904,13460,-105
905,13468,-106
906,13476,-107
907,13485,-108
908,13492,-109
909,13501,-110
910,13510,-111
911,13519,-112
912,13528,-113
913,13538,-114
914,13548,-115
915,13558,-116
916,13568,-117
917,13579,-118
918,13591,-119
919,13604,-120
920,13616,-121
921,13631,-122
922,13646,-123
923,13663,-124
924,13681,-125
925,13704,-126
926,13733,-127
927,13876,-126
928,13905,-125
929,13928,-124
930,13945,-123
931,13962,-122
932,13977,-121
933,13992,-120
934,14004,-119
935,14016,-118
936,14028,-117
937,14040,-116
938,14049,-115
939,14060,-114
940,14070,-113
941,14080,-112
942,14088,-111
943,14098,-110
944,14107,-109
945,14115,-108
946,14123,-107
947,14131,-106
948,14140,-105
949,14148,-104
950,14155,-103
951,14162,-102
952,14170,-101
953,14177,-100
954,14184,-99
955,14191,-98
956,14199,-97
957,14206,-96
958,14212,-95
959,14219,-94
960,14226,-93
961,14232,-92
962,14238,-91
963,14245,-90
964,14251,-89
965,14258,-88
966,14264,-87
967,14270,-86
968,14276,-85
969,14282,-84
970,14288,-83
971,14294,-82
972,14300,-81
973,14306,-80
974,14312,-79
975,14318,-78
976,14323,-77
977,14329,-76
978,14335,-75
979,14340,-74
980,14346,-73
981,14352,-72
982,14357,-71
983,14362,-70
984,14368,-69
985,14374,-68
986,14379,-67
987,14384,-66
988,14390,-65
989,14395,-64
990,14400,-63
991,14406,-62
992,14411,-61
993,14416,-60
994,14421,-59
995,14427,-58
996,14432,-57
997,14437,-56
998,14442,-55
999,14447,-54
1000,14453,-53
1001,14458,-52
1002,14463,-51
1003,14468,-50
1004,14473,-49
1005,14478,-48
1006,14483,-47
1007,14488,-46
1008,14493,-45
1009,14498,-44
1010,14503,-43
1011,14508,-42
1012,14513,-41
1013,14518,-40
1014,14523,-39
1015,14528,-38
1016,14533,-37
1017,14538,-36
1018,14543,-35
1019,14548,-34
1020,14553,-33
1021,14558,-32
1022,14563,-31
1023,14568,-30
1024,14573,-29
1025,14578,-28
1026,14583,-27
1027,14588,-26
1028,14593,-25
1029,14598,-24
1030,14602,-23
1031,14607,-22
1032,14612,-21
1033,14618,-20
1034,14622,-19
1035,14627,-18
1036,14632,-17
1037,14637,-16
1038,14642,-15
1039,14647,-14
1040,14652,-13
1041,14657,-12
1042,14662,-11
1043,14667,-10
1044,14672,-9
1045,14678,-8
1046,14682,-7
1047,14687,-6
1048,14693,-5
1049,14698,-4
1050,14703,-3
1051,14708,-2
1052,14713,-1
1053,14718,0
1054,14723,1
1055,14728,2
1056,14734,3
1057,14739,4
1058,14744,5
1059,14749,6
1060,14755,7
1061,14760,8
1062,14765,9
1063,14770,10
1064,14776,11
1065,14781,12
1066,14786,13
1067,14792,14
1068,14797,15
1069,14803,16
1070,14808,17
1071,14814,18
1072,14819,19
1073,14825,20
1074,14830,21
1075,14836,22
1076,14842,23
1077,14848,24
1078,14853,25
1079,14859,26
1080,14865,27
1081,14871,28
1082,14877,29
1083,14883,30
1084,14889,31
1085,14895,32
1086,14901,33
1087,14907,34
1088,14914,35
1089,14920,36
1090,14926,37
1091,14933,38
1092,14939,39
1093,14946,40
1094,14952,41
1095,14959,42
1096,14966,43
1097,14974,44
1098,14980,45
1099,14987,46
1100,14995,47
1101,15002,48
1102,15009,49
1103,15017,50
1104,15025,51
1105,15033,52
1106,15041,53
1107,15049,54
1108,15058,55
1109,15067,56
1110,15075,57
1111,15085,58
1112,15094,59
1113,15104,60
1114,15114,61
1115,15124,62
1116,15135,63
1117,15147,64
1118,15158,65
1119,15171,66
1120,15185,67
1121,15201,68
1122,15215,69
1123,15234,70
1124,15255,71
1125,15282,72
1126,15318,73
1127,15412,72
1128,15446,71
1129,15473,70
1130,15494,69
1131,15512,68
1132,15527,67
1133,15542,66
1134,15556,65
1135,15569,64
1136,15580,63
1137,15592,62
1138,15603,61
1139,15613,60
1140,15623,59
1141,15633,58
1142,15642,57
1143,15652,56
1144,15660,55
1145,15669,54
1146,15678,53
1147,15686,52
1148,15693,51
1149,15702,50
1150,15710,49
1151,15717,48
1152,15724,47
1153,15732,46
1154,15739,45
1155,15747,44
1156,15753,43
1157,15760,42
1158,15767,41
1159,15774,40
1160,15780,39
1161,15787,38
1162,15794,37
1163,15800,36
1164,15806,35
1165,15813,34
1166,15819,33
1167,15826,32
1168,15831,31
1169,15838,30
1170,15844,29
1171,15850,28
1172,15855,27
1173,15862,26
1174,15867,25
1175,15873,24
1176,15879,23
1177,15885,22
1178,15890,21
1179,15896,20
1180,15901,19
1181,15907,18
1182,15913,17
1183,15919,16
1184,15924,15
1185,15929,14
1186,15935,13
1187,15940,12
1188,15945,11
1189,15951,10
1190,15956,9
1191,15962,8
1192,15967,7
1193,15972,6
1194,15977,5
1195,15983,4
1196,15988,3
1197,15993,2
1198,15998,1
1199,16003,0
1200,16008,-1
1201,16013,-2
1202,16019,-3
1203,16024,-4
1204,16029,-5
1205,16034,-6
1206,16039,-7
1207,16044,-8
1208,16049,-9
1209,16054,-10
1210,16059,-11
1211,16064,-12
1212,16069,-13
1213,16074,-14
1214,16079,-15
1215,16084,-16
1216,16089,-17
1217,16094,-18
1218,16099,-19
1219,16104,-20
1220,16109,-21
1221,16114,-22
1222,16119,-23
1223,16124,-24
1224,16129,-25
1225,16134,-26
1226,16139,-27
1227,16144,-28
1228,16148,-29
1229,16153,-30
1230,16158,-31
1231,16164,-32
1232,16168,-33
1233,16173,-34
1234,16178,-35
1235,16183,-36
1236,16188,-37
1237,16193,-38
1238,16198,-39
1239,16203,-40
1240,16208,-41
1241,16213,-42
1242,16218,-43
1243,16223,-44
1244,16228,-45
1245,16233,-46
1246,16238,-47
1247,16243,-48
1248,16248,-49
1249,16253,-50
1250,16258,-51
1251,16264,-52
1252,16268,-53
1253,16274,-54
1254,16279,-55
1255,16284,-56
1256,16289,-57
1257,16294,-58
1258,16300,-59
1259,16305,-60
1260,16310,-61
1261,16315,-62
1262,16321,-63
1263,16326,-64
1264,16331,-65
1265,16336,-66
1266,16342,-67
1267,16347,-68
1268,16352,-69
1269,16358,-70
1270,16364,-71
1271,16369,-72
1272,16374,-73
1273,16380,-74
1274,16386,-75
1275,16391,-76
1276,16397,-77
1277,16403,-78
1278,16408,-79
1279,16414,-80
1280,16420,-81
1281,16426,-82
1282,16432,-83
1283,16438,-84
1284,16443,-85
1285,16450,-86
1286,16456,-87
1287,16462,-88
1288,16468,-89
1289,16474,-90
1290,16481,-91
1291,16487,-92
1292,16493,-93
1293,16500,-94
1294,16507,-95
1295,16514,-96
1296,16520,-97
1297,16527,-98
1298,16534,-99
1299,16541,-100
1300,16548,-101
1301,16556,-102
1302,16563,-103
1303,16571,-104
1304,16578,-105
1305,16586,-106
1306,16594,-107
1307,16602,-108
1308,16610,-109
1309,16619,-110
1310,16628,-111
1311,16637,-112
1312,16646,-113
1313,16655,-114
1314,16665,-115
1315,16676,-116
1316,16685,-117
1317,16697,-118
1318,16708,-119
1319,16721,-120
1320,16733,-121
1321,16747,-122
1322,16762,-123
1323,16779,-124
1324,16796,-125
1325,16819,-126
1326,16846,-127
1327,16895,-128
1328,16954,-127
1329,17001,-126
1330,17028,-125
1331,17050,-124
1332,17067,-123
1333,17084,-122
1334,17099,-121
1335,17113,-120
1336,17125,-119
1337,17137,-118
1338,17149,-117
1339,17160,-116
1340,17170,-115
1341,17180,-114
1342,17190,-113
1343,17200,-112
1344,17209,-111
1345,17218,-110
1346,17227,-109
1347,17235,-108
1348,17243,-107
1349,17251,-106
1350,17260,-105
1351,17268,-104
1352,17275,-103
1353,17282,-102
1354,17290,-101
1355,17297,-100
1356,17304,-99
1357,17311,-98
1358,17318,-97
1359,17325,-96
1360,17332,-95
1361,17339,-94
1362,17345,-93
1363,17352,-92
1364,17358,-91
1365,17365,-90
1366,17371,-89
1367,17377,-88
1368,17383,-87
1369,17390,-86
1370,17396,-85
1371,17402,-84
1372,17408,-83
1373,17414,-82
1374,17420,-81
1375,17426,-80
1376,17431,-79
1377,17437,-78
1378,17443,-77
1379,17449,-76
1380,17454,-75
1381,17460,-74
1382,17465,-73
1383,17471,-72
1384,17476,-71
1385,17482,-70
1386,17487,-69
1387,17493,-68
1388,17498,-67
1389,17504,-66
1390,17509,-65
1391,17514,-64
1392,17519,-63
1393,17525,-62
1394,17530,-61
1395,17536,-60
1396,17541,-59
1397,17546,-58
1398,17551,-57
1399,17556,-56
1400,17561,-55
1401,17567,-54
1402,17572,-53
1403,17577,-52
1404,17582,-51
1405,17587,-50
1406,17592,-49
1407,17597,-48
1408,17602,-47
1409,17607,-46
1410,17612,-45
1411,17617,-44
1412,17622,-43
1413,17627,-42
1414,17632,-41
1415,17637,-40
1416,17642,-39
1417,17647,-38
1418,17652,-37
1419,17657,-36
1420,17662,-35
1421,17667,-34
1422,17672,-33
1423,17677,-32
1424,17682,-31
1425,17687,-30
1426,17692,-29
1427,17697,-28
1428,17702,-27
1429,17707,-26
1430,17712,-25
1431,17717,-24
1432,17721,-23
1433,17726,-22
1434,17731,-21
1435,17737,-20
1436,17741,-19
1437,17746,-18
1438,17751,-17
1439,17756,-16
1440,17761,-15
1441,17766,-14
1442,17771,-13
1443,17776,-12
1444,17781,-11
1445,17786,-10
1446,17791,-9
1447,17797,-8
1448,17801,-7
1449,17806,-6
1450,17811,-5
1451,17817,-4
1452,17821,-3
1453,17827,-2
1454,17832,-1
1455,17837,0
1456,17842,1
1457,17847,2
1458,17852,3
1459,17858,4
1460,17863,5
1461,17868,6
1462,17873,7
1463,17879,8
1464,17884,9
1465,17889,10
1466,17894,11
1467,17900,12
1468,17905,13
1469,17911,14
1470,17916,15
1471,17922,16
1472,17927,17
1473,17932,18
1474,17938,19
1475,17944,20
1476,17949,21
1477,17955,22
1478,17961,23
1479,17966,24
1480,17972,25
1481,17978,26
1482,17984,27
1483,17990,28
1484,17995,29
1485,18001,30
1486,18007,31
1487,18014,32
1488,18019,33
1489,18026,34
1490,18032,35
1491,18039,36
1492,18045,37
1493,18051,38
1494,18058,39
1495,18065,40
1496,18071,41
1497,18078,42
1498,18085,43
1499,18092,44
1500,18098,45
1501,18106,46
1502,18113,47
1503,18121,48
1504,18128,49
1505,18136,50
1506,18143,51
1507,18152,52
1508,18159,53
1509,18168,54
1510,18176,55
1511,18185,56
1512,18193,57
1513,18203,58
1514,18212,59
1515,18222,60
1516,18231,61
1517,18242,62
1518,18253,63
1519,18265,64
1520,18276,65
1521,18289,66
1522,18303,67
1523,18318,68
1524,18333,69
1525,18351,70
1526,18371,71
1527,18398,72
1528,18431,73
1529,18535,72
1530,18568,71
1531,18594,70
1532,18614,69
1533,18632,68
1534,18647,67
1535,18662,66
1536,18676,65
1537,18689,64
1538,18699,63
1539,18711,62
1540,18722,61
1541,18733,60
